state,electricity
andhra pradesh,177.24286485028327
arunachal pradesh,2.108335581332614
assam,27.313191259778797
bihar,83.26592932290261
chandigarh,4.582141893714594
chhattisgarh,85.69123280280552
dd,6.679866666666666
delhi,88.24178581062854
dnh,16.671151919866443
dvc,64.11567305098463
essar steel,10.57348031496063
goa,10.541354194766658
gujarat,326.674103048287
haryana,148.42551928783382
hp,27.95446452657135
j&k,43.80032371189641
jharkhand,25.781575397895875
karnataka,195.9854059886701
kerala,69.86975991367683
maharashtra,446.1187213380092
manipur,2.365578635014837
meghalaya,5.307663146493366
mizoram,1.5282708389533315
mp,207.72422444024818
nagaland,2.1433234421364986
odisha,88.10531427029944
pondy,6.717618170656845
punjab,161.66277313191262
rajasthan,224.4086862692204
sikkim,1.3527110871324521
tamil nadu,298.49204208254656
telangana,176.45834906932828
total consumption,3555.709402864091
tripura,3.7295674300254453
up,327.8891556514702
uttarakhand,37.86886970596169
west bengal,146.0872403560831
